time,ip_address,packets_input,packets_output,packets_dropped
2023-06-04 10:56:04,67.176.52.206,1753629,797618,60876
2023-06-04 10:58:05,67.176.52.206,1770776,800455,60975
2023-06-04 11:00:04,67.176.52.206,1802769,804728,61070
2023-06-04 11:02:05,67.176.52.206,1856424,811334,61154
2023-06-04 11:04:05,67.176.52.206,1901720,816885,61251
2023-06-04 11:06:05,67.176.52.206,1945982,822334,61339
2023-06-04 11:08:05,67.176.52.206,1975302,826097,61432
2023-06-04 11:10:04,67.176.52.206,1981555,827836,61519
2023-06-04 11:12:05,67.176.52.206,2003287,831200,61629
2023-06-04 11:14:04,67.176.52.206,2008324,832383,61726
2023-06-04 11:16:05,67.176.52.206,2010726,833684,61821
2023-06-04 11:18:04,67.176.52.206,2015572,835113,61915
2023-06-04 11:20:05,67.176.52.206,2030375,837868,62006
2023-06-04 11:22:04,67.176.52.206,2032148,839434,62093
2023-06-04 11:24:05,67.176.52.206,2034135,840360,62176
2023-06-04 11:26:05,67.176.52.206,2038283,841537,62262
2023-06-04 11:28:05,67.176.52.206,2046637,843515,62363
2023-06-04 11:30:05,67.176.52.206,2051219,844522,62453
2023-06-04 11:32:04,67.176.52.206,2054287,845540,62544
2023-06-04 11:34:05,67.176.52.206,2059889,846671,62636
2023-06-04 11:36:04,67.176.52.206,2064547,847957,62732
2023-06-04 11:38:05,67.176.52.206,2069432,850417,62827
2023-06-04 11:40:04,67.176.52.206,2073760,851427,62921
2023-06-04 11:42:05,67.176.52.206,2077026,852373,63017
2023-06-04 11:44:05,67.176.52.206,2090673,854849,63106
2023-06-04 11:46:05,67.176.52.206,2115706,858254,63209
2023-06-04 11:48:05,67.176.52.206,2133734,860903,63299
2023-06-04 11:50:05,67.176.52.206,2151531,863378,63402
2023-06-04 11:52:05,67.176.52.206,2169266,865870,63490
2023-06-04 11:54:04,67.176.52.206,2187590,868351,63574
2023-06-04 11:56:05,67.176.52.206,2205731,870933,63653
2023-06-04 11:58:04,67.176.52.206,2224056,873430,63745
2023-06-04 12:00:05,67.176.52.206,2236213,875223,63836
2023-06-04 12:02:05,67.176.52.206,2247604,876999,63927
2023-06-04 12:04:05,67.176.52.206,2261241,879076,64020
2023-06-04 12:06:05,67.176.52.206,2276226,881246,64108
2023-06-04 12:08:05,67.176.52.206,2293042,883635,64195
2023-06-04 12:10:05,67.176.52.206,2310624,886071,64291
2023-06-04 12:12:04,67.176.52.206,2327907,888522,64441
2023-06-04 12:14:05,67.176.52.206,2345702,891021,64583
2023-06-04 12:16:04,67.176.52.206,2362122,893316,64676
2023-06-04 12:18:05,67.176.52.206,2379662,895900,64769
2023-06-04 12:20:05,67.176.52.206,2397083,898432,64863
2023-06-04 12:22:05,67.176.52.206,2413709,900913,64955
2023-06-04 12:24:05,67.176.52.206,2431836,903468,65043
2023-06-04 12:26:04,67.176.52.206,2447539,905684,65129
2023-06-04 12:28:05,67.176.52.206,2465644,908239,65226
2023-06-04 12:30:04,67.176.52.206,2481657,910530,65320
2023-06-04 12:32:05,67.176.52.206,2498126,912971,65415
2023-06-04 12:34:04,67.176.52.206,2515197,915373,65499
2023-06-04 12:36:05,67.176.52.206,2532258,917758,65591
2023-06-04 12:38:05,67.176.52.206,2548826,920164,65680
2023-06-04 12:40:05,67.176.52.206,2566507,922702,65767
2023-06-04 12:42:05,67.176.52.206,2583870,925223,65869
2023-06-04 12:44:05,67.176.52.206,2601055,927663,65964
2023-06-04 12:46:05,67.176.52.206,2616259,930981,66051
2023-06-04 12:48:04,67.176.52.206,2617015,931722,66143
2023-06-04 12:50:05,67.176.52.206,2620049,933420,66254
2023-06-04 12:52:04,67.176.52.206,2621078,934090,66349
2023-06-04 12:54:05,67.176.52.206,2623018,934987,66441
2023-06-04 12:56:04,67.176.52.206,2634231,936238,66530
2023-06-04 12:58:05,67.176.52.206,2646840,939098,66625
2023-06-04 13:00:05,67.176.52.206,2653492,940957,66714
2023-06-04 13:02:05,67.176.52.206,2656581,941919,66802
2023-06-04 13:04:05,67.176.52.206,2657803,942714,66895
2023-06-04 13:06:04,67.176.52.206,2658829,943621,66987
2023-06-04 13:08:05,67.176.52.206,2660259,944522,67088
2023-06-04 13:10:04,67.176.52.206,2661389,945373,67182
2023-06-04 13:12:05,67.176.52.206,2671391,946732,67290
2023-06-04 13:14:04,67.176.52.206,2677995,948091,67402
2023-06-04 13:16:05,67.176.52.206,2679616,949075,67487
2023-06-04 13:18:05,67.176.52.206,2683549,950912,67587
2023-06-04 13:20:04,67.176.52.206,2684248,951469,67675
2023-06-04 13:22:05,67.176.52.206,2684993,952050,67767
2023-06-04 13:24:04,67.176.52.206,2685573,952469,67854
2023-06-04 13:26:05,67.176.52.206,2686091,952866,67944
2023-06-04 13:28:04,67.176.52.206,2686614,953306,68034
2023-06-04 13:30:05,67.176.52.206,2687184,953771,68129
2023-06-04 13:32:05,67.176.52.206,2687822,954161,68215
2023-06-04 13:34:05,67.176.52.206,2688761,954617,68303
2023-06-04 13:36:05,67.176.52.206,2689425,955018,68399
2023-06-04 13:38:04,67.176.52.206,2690084,955517,68492
2023-06-04 13:40:05,67.176.52.206,2690712,955909,68580
2023-06-04 13:42:04,67.176.52.206,2691358,956322,68671
2023-06-04 13:44:05,67.176.52.206,2691973,956747,68768
2023-06-04 13:46:04,67.176.52.206,2692778,957157,68854
2023-06-04 13:48:05,67.176.52.206,2693237,957597,68949
2023-06-04 13:50:05,67.176.52.206,2693805,957942,69050
2023-06-04 13:52:05,67.176.52.206,2695336,959303,69146
2023-06-04 13:54:05,67.176.52.206,2696379,960385,69229
2023-06-04 13:56:04,67.176.52.206,2697167,960922,69310
2023-06-04 13:58:05,67.176.52.206,2697842,961456,69416
2023-06-04 14:00:04,67.176.52.206,2698835,961951,69516
2023-06-04 14:02:05,67.176.52.206,2700022,962755,69599
2023-06-04 14:04:05,67.176.52.206,2700705,963178,69687
2023-06-04 14:06:05,67.176.52.206,2701348,963550,69781
2023-06-04 14:08:05,67.176.52.206,2702055,963977,69875
2023-06-04 14:10:05,67.176.52.206,2702610,964350,69963
2023-06-04 14:12:05,67.176.52.206,2703198,964738,70068
2023-06-04 14:14:04,67.176.52.206,2703891,965183,70177
2023-06-04 14:16:05,67.176.52.206,2704565,965565,70265
2023-06-04 14:18:04,67.176.52.206,2705274,966104,70355
2023-06-04 14:20:05,67.176.52.206,2705781,966496,70460
2023-06-04 14:22:05,67.176.52.206,2706483,967031,70553
2023-06-04 14:24:05,67.176.52.206,2707145,967451,70639
2023-06-04 14:26:05,67.176.52.206,2707723,967857,70731
2023-06-04 14:28:04,67.176.52.206,2708399,968317,70818
2023-06-04 14:30:05,67.176.52.206,2709106,968739,70916
2023-06-04 14:32:04,67.176.52.206,2709809,969215,71004
2023-06-04 14:34:05,67.176.52.206,2710347,969652,71091
2023-06-04 14:36:05,67.176.52.206,2710899,970037,71189
2023-06-04 14:38:05,67.176.52.206,2711449,970438,71287
2023-06-04 14:40:05,67.176.52.206,2712005,970798,71370
2023-06-04 14:42:04,67.176.52.206,2712604,971196,71457
2023-06-04 14:44:05,67.176.52.206,2713896,972226,71549
2023-06-04 14:46:04,67.176.52.206,2714376,972655,71639
2023-06-04 14:48:05,67.176.52.206,2715087,973202,71731
2023-06-04 14:50:04,67.176.52.206,2715676,973665,71829
2023-06-04 14:52:05,67.176.52.206,2716647,974287,71919
2023-06-04 14:54:05,67.176.52.206,2717258,974768,72005
2023-06-04 14:56:05,67.176.52.206,2718077,975262,72081
2023-06-04 14:58:05,67.176.52.206,2718764,975688,72169
2023-06-04 15:00:04,67.176.52.206,2719163,976008,72265
2023-06-04 15:02:05,67.176.52.206,2719705,976412,72355
2023-06-04 15:04:04,67.176.52.206,2720413,976815,72444
2023-06-04 15:06:05,67.176.52.206,2721568,977761,72537
2023-06-04 15:08:04,67.176.52.206,2745494,982682,72630
2023-06-04 15:10:05,67.176.52.206,2755284,984987,72719
2023-06-04 15:12:05,67.176.52.206,2779991,990144,72827
2023-06-04 15:14:05,67.176.52.206,2790178,992376,72938
2023-06-04 15:16:05,67.176.52.206,2796944,993790,73034
2023-06-04 15:18:04,67.176.52.206,2804044,995378,73127
2023-06-04 15:20:05,67.176.52.206,2811119,996633,73215
2023-06-04 15:22:04,67.176.52.206,2813972,997491,73304
2023-06-04 15:24:05,67.176.52.206,2893952,1009884,73395
2023-06-04 15:26:05,67.176.52.206,3003442,1022679,73480
2023-06-04 15:28:05,67.176.52.206,3104933,1034586,73572
2023-06-04 15:30:05,67.176.52.206,3204898,1046107,73666
2023-06-04 15:32:04,67.176.52.206,3283977,1055693,73755
2023-06-04 15:34:05,67.176.52.206,3293722,1062151,73873
2023-06-04 15:36:04,67.176.52.206,3348041,1079310,74500
2023-06-04 15:38:05,67.176.52.206,3377391,1083971,74593
2023-06-04 15:40:04,67.176.52.206,3409637,1089792,74738
2023-06-04 15:42:05,67.176.52.206,3438712,1094111,74829
2023-06-04 15:44:05,67.176.52.206,3455207,1097150,74919
2023-06-04 15:46:05,67.176.52.206,3456122,1097883,75011
