time,ip_address,packets_input,packets_output,packets_dropped
2023-06-02 05:48:05,67.176.52.206,1196298,620061,46467
2023-06-02 05:50:05,67.176.52.206,1196837,620380,46564
2023-06-02 05:52:05,67.176.52.206,1197561,620767,46655
2023-06-02 05:54:04,67.176.52.206,1198364,621148,46744
2023-06-02 05:56:05,67.176.52.206,1209604,626179,46832
2023-06-02 05:58:04,67.176.52.206,1210283,626569,46925
2023-06-02 06:00:05,67.176.52.206,1210683,626885,47009
2023-06-02 06:02:04,67.176.52.206,1211345,627329,47095
2023-06-02 06:04:05,67.176.52.206,1211916,627697,47185
2023-06-02 06:06:05,67.176.52.206,1212357,628023,47277
2023-06-02 06:08:05,67.176.52.206,1213042,628414,47364
2023-06-02 06:10:05,67.176.52.206,1213595,628714,47459
2023-06-02 06:12:04,67.176.52.206,1214198,629080,47565
2023-06-02 06:14:05,67.176.52.206,1214836,629530,47666
2023-06-02 06:16:04,67.176.52.206,1215465,629868,47764
2023-06-02 06:18:05,67.176.52.206,1216197,630334,47857
2023-06-02 06:20:05,67.176.52.206,1216713,630633,47950
2023-06-02 06:22:05,67.176.52.206,1217541,631195,48049
2023-06-02 06:24:05,67.176.52.206,1218196,631561,48140
2023-06-02 06:26:05,67.176.52.206,1219083,631944,48219
2023-06-02 06:28:05,67.176.52.206,1219648,632330,48310
2023-06-02 06:30:04,67.176.52.206,1220218,632708,48399
2023-06-02 06:32:05,67.176.52.206,1220656,633065,48490
2023-06-02 06:34:04,67.176.52.206,1221228,633418,48586
2023-06-02 06:36:05,67.176.52.206,1221793,633726,48690
2023-06-02 06:38:04,67.176.52.206,1222434,634105,48785
2023-06-02 06:40:05,67.176.52.206,1223027,634429,48880
2023-06-02 06:42:05,67.176.52.206,1223441,634753,48966
2023-06-02 06:44:05,67.176.52.206,1224027,635119,49062
2023-06-02 06:46:05,67.176.52.206,1224492,635429,49151
2023-06-02 06:48:04,67.176.52.206,1225074,635860,49239
2023-06-02 06:50:05,67.176.52.206,1225656,636187,49336
2023-06-02 06:52:04,67.176.52.206,1226307,636562,49420
2023-06-02 06:54:05,67.176.52.206,1227086,636991,49510
2023-06-02 06:56:04,67.176.52.206,1227622,637324,49599
2023-06-02 06:58:05,67.176.52.206,1228307,637701,49690
2023-06-02 07:00:05,67.176.52.206,1228815,638024,49777
2023-06-02 07:02:05,67.176.52.206,1229268,638398,49861
2023-06-02 07:04:05,67.176.52.206,1229910,638875,49948
2023-06-02 07:06:04,67.176.52.206,1230626,639244,50041
2023-06-02 07:08:05,67.176.52.206,1231150,639640,50141
2023-06-02 07:10:04,67.176.52.206,1231762,639947,50239
2023-06-02 07:12:05,67.176.52.206,1232340,640325,50346
2023-06-02 07:14:05,67.176.52.206,1233021,640667,50444
2023-06-02 07:16:05,67.176.52.206,1233967,641056,50537
2023-06-02 07:18:05,67.176.52.206,1234776,641546,50629
2023-06-02 07:20:04,67.176.52.206,1235473,641865,50716
2023-06-02 07:22:05,67.176.52.206,1236172,642279,50807
